#Note: the line starts with '#' will be ignored!!!,,,,,,
#Enums Start....,hkjc.cap.ida.football.entity.enumcode.,,,,,
enumcode.incident,LiveEventActionPeriod,FT_AND_ET,FTAndET,,0,
enumcode.incident,LiveEventActionPeriod,PENALTY_KICK,PenaltyKick,,0,
enumcode.incident,LiveEventActionPeriod,HALF_TIME,HalfTime,,0,
enumcode.incident,LiveEventActionPeriod,ENDED,Ended,,0,
enumcode.incident,LiveEventActionPeriod,NOT_ON_PITCH,NotOnPitch,,0,
enumcode.incident,LiveEventActionSourceType,SCORE,Score,,0,
enumcode.incident,LiveEventActionSourceType,PENALTY,Penalty,,0,
enumcode.incident,LiveEventActionType,REGULAR,Regular,,0,
enumcode.incident,LiveEventActionType,OWN_GOAL,OwnGoal,,0,
enumcode.incident,LiveEventActionType,PENALTY,Penalty,,0,
enumcode.incident,LiveEventActionType,RED_CARD,RedCard,,0,
enumcode.incident,LiveEventActionType,YELLOW_CARD,YellowCard,,0,
enumcode.incident,LiveEventActionType,YELLOW_RED_CARD,YellowRedCard,,0,
enumcode.incident,LiveEventPeriodValue,FIRST_HALF,FirstHalf,,0,
enumcode.incident,LiveEventPeriodValue,SECOND_HALF,SecondHalf,,0,
enumcode.incident,LiveEventPeriodValue,FIRST_EXTRA_TIME,FirstExtraTime,,0,
enumcode.incident,LiveEventPeriodValue,SECOND_EXTRA_TIME,SecondExtraTime,,0,
enumcode.incident,LiveEventPeriodValue,PENALTY_KICK,PenaltyKick,,0,
enumcode.operational,ResendMessageReferenceType,MATCH,Match,,0,
enumcode.operational,ResendMessageReferenceType,POOL,Pool,,0,
enumcode.operational,ScrollingMessageChannel,WEB,WEB,for WEB Channels such as JCEW/Tablet/etc.,0,
enumcode.operational,ScrollingMessageChannel,OCBIDS,OCBIDS,for OCBIDS,0,
enumcode.operational,ScrollingMessageChannel,ALL,ALL,for All Channels except OCBIDS,0,
enumcode.operational,ScrollingMessageCategory,HORSE_RACING,HR,Horse Racing,0,
enumcode.operational,ScrollingMessageCategory,FOOTBALL,FB,Football,0,
enumcode.operational,ScrollingMessageCategory,LOTTERY,LY,Lottery,0,
enumcode.operational,ScrollingMessageCategory,GENERAL,GL,General(applies to all domains: Racing/Football/Lottery),0,
enumcode.operational.admin,MatchSpecialGroupBy,MATCH,Match,,0,
enumcode.operational.admin,MatchSpecialGroupBy,ITEM,Item,,0,
enumcode.operational.cache,ActiveKeyLookupReferenceType,MATCH,Match,Match,0,
enumcode.operational.cache,ActiveKeyLookupReferenceType,MATCH_POOL,MPool,Match Pool,0,
enumcode.operational.cache,ActiveKeyLookupReferenceType,TOURNAMENT_POOL,TPool,Tournament Pool,0,
enumcode.operational.cache,ActiveKeyLookupReferenceType,LEG,Leg,Leg,0,
#enumcode.operational.cache,ActiveKeyLookupReferenceType,SELECTION,Selection,Selection,0,
#enumcode.operational.cache,ActiveKeyLookupReferenceType,COMBINATION,Combination,Combination,0,
enumcode.operational.fbadmin,BetradarTournamentType,LEAGUE,League,,0,
